group,estimate,lcl,ucl
Psi sA toB gShaktoolikM c1 a0 o1 t1,0.2543715,0.1516918,0.3942527
Psi sA toB gShaktoolikM c1 a1 o2 t2,0.1138557,0.0470305,0.2506573
Psi sA toB gShaktoolikM c1 a2 o3 t3,0.0385688,0.0043533,0.2690382
Psi sA toX gShaktoolikM c1 a0 o1 t1,0.0369951,0.0194475,0.0692577
Psi sA toX gShaktoolikM c1 a1 o2 t2,0.0165589,0.0064025,0.0421434
Psi sA toX gShaktoolikM c1 a2 o3 t3,0.0056094,0.000635018,0.04769
Psi sB toA gShaktoolikM c1 a0 o1 t1,0.0034962,0.0012553,0.009698
Psi sB toA gShaktoolikM c1 a1 o2 t2,0.0012806,0.000366671,0.0044626
Psi sB toA gShaktoolikM c1 a2 o3 t3,0.000395346,3.82E-05,0.0040787
Psi sB toX gShaktoolikM c1 a0 o1 t1,0.0031621,0.0011289,0.0088249
Psi sB toX gShaktoolikM c1 a1 o2 t2,0.0011583,0.000330063,0.0040562
Psi sB toX gShaktoolikM c1 a2 o3 t3,0.000357568,3.45E-05,0.0036994
Psi sX toA gShaktoolikM c1 a0 o1 t1,0.1385277,0.0760651,0.2390139
Psi sX toA gShaktoolikM c1 a1 o2 t2,0.1385277,0.0760651,0.2390139
Psi sX toA gShaktoolikM c1 a2 o3 t3,0.1385277,0.0759685,0.2392642
Psi sX toB gShaktoolikM c1 a0 o1 t1,0.8614723,0.7609861,0.9239349
Psi sX toB gShaktoolikM c1 a1 o2 t2,0.8614723,0.7609861,0.9239349
Psi sX toB gShaktoolikM c1 a2 o3 t3,0.8614723,0.7609861,0.9239349
Psi sA toB gTransitoryM c1 a0 o1 t1,0.872707,0.8091128,0.9172808
Psi sA toB gTransitoryM c1 a1 o2 t2,0.8721469,0.8086348,0.9167501
Psi sA toB gTransitoryM c1 a2 o3 t3,0.8701734,0.8064867,0.9151067
Psi sA toX gTransitoryM c1 a0 o1 t1,0.1269242,0.0823792,0.1905542
Psi sA toX gTransitoryM c1 a1 o2 t2,0.1268428,0.0823268,0.1904344
Psi sA toX gTransitoryM c1 a2 o3 t3,0.1265558,0.0821372,0.1900222
Psi sB toA gTransitoryM c1 a0 o1 t1,0.5134693,0.3941059,0.6313159
Psi sB toA gTransitoryM c1 a1 o2 t2,0.494416,0.3735788,0.6159091
Psi sB toA gTransitoryM c1 a2 o3 t3,0.4371014,0.2629373,0.6282902
Psi sB toX gTransitoryM c1 a0 o1 t1,0.4644033,0.3480388,0.584777
Psi sB toX gTransitoryM c1 a1 o2 t2,0.4471706,0.3304727,0.5699947
Psi sB toX gTransitoryM c1 a2 o3 t3,0.3953329,0.2365943,0.5797003
Psi sX toA gTransitoryM c1 a0 o1 t1,0.1385277,0.0759685,0.2392642
Psi sX toA gTransitoryM c1 a1 o2 t2,0.1385277,0.0760651,0.2390139
Psi sX toA gTransitoryM c1 a2 o3 t3,0.1385277,0.0760651,0.2390139
Psi sX toB gTransitoryM c1 a0 o1 t1,0.8614723,0.7570197,0.9254449
Psi sX toB gTransitoryM c1 a1 o2 t2,0.8614723,0.7570197,0.9254449
Psi sX toB gTransitoryM c1 a2 o3 t3,0.8614723,0.7609861,0.9239349
Psi sA toB gUnalakleetM c1 a0 o1 t1,0.7978506,0.7211629,0.8576113
Psi sA toB gUnalakleetM c1 a1 o2 t2,0.6937993,0.5471666,0.8094831
Psi sA toB gUnalakleetM c1 a2 o3 t3,0.4749314,0.1125277,0.8658161
Psi sA toX gUnalakleetM c1 a0 o1 t1,0.1160373,0.0750671,0.1751343
Psi sA toX gUnalakleetM c1 a1 o2 t2,0.1009044,0.0631262,0.1574905
Psi sA toX gUnalakleetM c1 a2 o3 t3,0.0690728,0.0219653,0.1968724
Psi sB toA gUnalakleetM c1 a0 o1 t1,0.0774463,0.0476993,0.1233417
Psi sB toA gUnalakleetM c1 a1 o2 t2,0.0311689,0.0146779,0.0649665
Psi sB toA gUnalakleetM c1 a2 o3 t3,0.0100173,0.0011501,0.0816603
Psi sB toX gUnalakleetM c1 a0 o1 t1,0.0700457,0.0426273,0.1130179
Psi sB toX gUnalakleetM c1 a1 o2 t2,0.0281905,0.0131767,0.0592833
Psi sB toX gUnalakleetM c1 a2 o3 t3,0.00906,0.0010386,0.0744211
Psi sX toA gUnalakleetM c1 a0 o1 t1,0.1385277,0.0760651,0.2390139
Psi sX toA gUnalakleetM c1 a1 o2 t2,0.1385277,0.0760651,0.2390139
Psi sX toA gUnalakleetM c1 a2 o3 t3,0.1385277,0.0759685,0.2392642
Psi sX toB gUnalakleetM c1 a0 o1 t1,0.8614723,0.7609861,0.9239349
Psi sX toB gUnalakleetM c1 a1 o2 t2,0.8614723,0.7609861,0.9239349
Psi sX toB gUnalakleetM c1 a2 o3 t3,0.8614723,0.7609861,0.9239349
