mcode,capture.date,stat.week,tag.group,card.no,fish.no,swim.dir,time.in,sex,length,time.out,species,notes,age,lat,long,mesh.size,secchi.dis,secchi.re,air.temp,water.temp,wind.sp,wind.dir,cloud.cov
3695,8/25/2020,35,1,25,9,N,15:00,F,579,15:03,coho,,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3715,8/25/2020,35,1,25,10,S,15:38,M,522,15:41,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3735,8/25/2020,35,1,26,1,N,15:39,F,550,15:43,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3755,8/25/2020,35,1,26,2,N,15:51,M,558,15:58,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3775,8/25/2020,35,1,26,3,N,15:54,F,559,15:58,coho,,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3795,8/25/2020,35,1,26,4,S,15:55,F,533,15:58,coho,,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3815,8/25/2020,35,1,26,5,N,16:01,M,558,15:04,coho,3815 and 3915 were confused - not sure which ended up on which fish,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3835,8/25/2020,35,1,26,7,N,16:10,M,562,15:16,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3855,8/25/2020,35,1,26,8,S,16:18,M,558,15:22,coho,,4,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3875,8/25/2020,35,1,26,9,N,16:19,M,486,15:22,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3895,8/25/2020,35,1,26,10,N,16:29,M,552,16:37,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3915,8/25/2020,35,1,26,6,S,16:09,F,564,15:16,coho,3815 and 3915 were confused - not sure which ended up on which fish,3.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3935,8/25/2020,35,1,27,1,N,16:30,M,493,16:37,coho,,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3955,8/25/2020,35,1,27,2,N,16:32,F,536,16:38,coho,,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3975,8/25/2020,35,1,27,3,S,16:33,M,564,16:39,coho,,1.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
3995,8/25/2020,35,1,27,4,N,16:35,M,569,16:41,coho,,2.1,63.95455,-160.85202,8-May,1.25,1,63,57,5,S,50
7435,8/25/2020,35,2,25,1,S,9:30,F,571,9:34,coho,,3,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7455,8/25/2020,35,2,25,2,S,9:52,M,543,9:59,sockeye,,7,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7475,8/25/2020,35,2,25,3,S,10:02,F,575,10:07,coho,,3,64.18224,-160.95758,8-Jul,1.5,1,54,58,1,,100
7495,8/25/2020,35,2,25,4,S,10:09,F,564,10:18,coho,,1.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7515,8/25/2020,35,2,25,5,S,10:12,F,536,10:20,coho,,1.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7535,8/25/2020,35,2,25,6,N,10:13,F,624,10:21,coho,Big.,2.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7555,8/25/2020,35,2,25,7,N,10:15,M,543,10:25,coho,Gash,2.1,64.18224,-160.95758,8-Jul,1.5,1,54,58,1,,100
7575,8/25/2020,35,2,25,8,N,10:30,F,538,10:40,coho,,1.1,64.18224,-160.95758,8-Jul,1.5,1,54,58,1,,100
7595,8/25/2020,35,2,25,9,S,10:35,M,575,10:42,coho,,1.1,64.18224,-160.95758,8-Jul,1.5,1,54,58,1,,100
7615,8/25/2020,35,2,25,10,S,10:35,F,575,10:44,coho,,3,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7635,8/25/2020,35,2,26,1,S,10:35,F,537,10:46,coho,,1.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7655,8/25/2020,35,2,26,2,S,10:36,F,509,10:50,coho,,2.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7675,8/25/2020,35,2,26,3,S,10:36,M,556,10:53,coho,Previous 6 fish (8th-3rd) hit simultaneously. Reset only 5 5/8.,1.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7695,8/25/2020,35,2,26,4,N,11:12,M,535,11:15,coho,,2.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7715,8/25/2020,35,2,26,5,N,11:48,M,551,11:52,coho,,2.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7735,8/25/2020,35,2,26,6,N,11:52,F,501,11:58,coho,,1.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7755,8/25/2020,35,2,26,7,S,12:08,F,541,12:14,coho,,2.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7775,8/25/2020,35,2,26,8,S,12:27,F,546,12:32,coho,,1.1,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7795,8/25/2020,35,2,26,9,S,12:58,M,515,13:00,sockeye,,7,64.18224,-160.95758,8-May,1.5,1,54,58,1,,100
7815,8/25/2020,35,2,26,10,N,13:23,F,562,13:27,coho,,1.1,64.24375,-160.9934,8-Jul,1.1,0.8,58,60,1,,75
7835,8/25/2020,35,2,27,1,S,13:59,M,546,14:02,coho,,1.1,64.24375,-160.9934,8-Jul,1.1,0.8,58,60,1,,75
7855,8/25/2020,35,2,27,2,N,14:20,M,560,14:26,sockeye,,7,64.24375,-160.9934,8-Jul,1.1,0.8,58,60,1,,75
3215,8/24/2020,35,1,23,1,N,10:54,M,558,11:01,coho,,1.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3235,8/24/2020,35,1,23,2,N,10:56,M,530,11:01,coho,,3,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3255,8/24/2020,35,1,23,3,N,10:56,F,527,11:04,coho,,2.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3275,8/24/2020,35,1,23,4,N,11:12,M,494,11:16,coho,,1.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3295,8/24/2020,35,1,23,5,N,11:20,M,573,11:27,coho,,2.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3315,8/24/2020,35,1,23,6,N,11:23,F,588,11:28,coho,,2.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3335,8/24/2020,35,1,23,7,S,12:19,M,504,12:23,coho,,2.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3355,8/24/2020,35,1,23,8,N,13:10,M,551,13:15,coho,,1.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3375,8/24/2020,35,1,23,9,N,13:11,M,554,13:16,coho,,1.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3395,8/24/2020,35,1,23,10,S,13:28,F,512,13:31,coho,,3,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3415,8/24/2020,35,1,24,1,,14:29,F,525,14:39,coho,,2.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3435,8/24/2020,35,1,24,2,S,14:29,M,584,14:39,coho,,3,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3455,8/24/2020,35,1,24,3,N,14:30,M,503,14:39,coho,,3.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3475,8/24/2020,35,1,24,4,S,14:34,M,528,14:42,coho,,2.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3495,8/24/2020,35,1,24,5,S,14:34,M,546,14:45,coho,,3,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
3515,8/24/2020,35,1,24,6,S,15:07,M,503,15:11,coho,,1.1,63.95417,-160.85283,8-May,0.5,0.3,58,57,5,S,90
7215,8/24/2020,35,2,23,1,N,14:23,M,654,14:26,coho,,2.1,64.30094,-161.10243,8-Jul,0.2,0.1,58,58,5,S,
7235,8/24/2020,35,2,23,2,N,14:50,M,555,14:54,coho,,3,64.30094,-161.10243,8-Jul,0.2,0.1,58,58,5,S,
7255,8/24/2020,35,2,23,3,N,15:07,F,546,15:09,coho,,2.1,64.30094,-161.10243,8-Jul,0.2,0.1,58,58,5,S,
7275,8/24/2020,35,2,23,4,S,16:00,F,517,16:04,coho,,2.1,64.30094,-161.10243,8-Jul,0.2,0.1,58,58,5,S,
7295,8/24/2020,35,2,23,5,S,16:32,M,544,16:39,coho,,1.1,64.27122,-161.04342,8-Jul,0.2,0.1,60,59,1,,50
7315,8/24/2020,35,2,23,6,S,16:58,F,558,17:02,coho,,1.1,64.27122,-161.04342,8-Jul,0.2,0.1,60,59,1,,50
7335,8/24/2020,35,2,23,7,S,17:10,F,564,17:15,coho,,1.1,64.27122,-161.04342,8-Jul,0.2,0.1,60,59,1,,50
7355,8/24/2020,35,2,23,8,S,18:03,F,509,18:11,coho,,1.1,64.31762,-161.13248,8-Jul,0.4,0.2,60,60,1,,25
7375,8/24/2020,35,2,23,9,S,18:05,M,514,18:13,coho,,2.1,64.31762,-161.13248,8-Jul,0.4,0.2,60,60,1,,25
7395,8/24/2020,35,2,23,10,S,18:35,F,534,18:40,coho,,2.1,64.31762,-161.13248,8-May,0.4,0.2,60,60,1,,25
7415,8/24/2020,35,2,24,1,N,18:50,M,564,18:56,coho,,2.1,64.31762,-161.13248,8-Jul,0.4,0.2,60,60,1,,25
6875,8/20/2020,34,2,21,1,S,9:27,M,486,9:33,coho,,1.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
6895,8/20/2020,34,2,21,2,S,10:03,M,526,10:15,coho,Spawning colors,3,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
6915,8/20/2020,34,2,21,3,N,10:37,F,545,10:43,coho,,3,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
6935,8/20/2020,34,2,21,4,N,10:54,F,556,11:00,coho,,2.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
6955,8/20/2020,34,2,21,5,S,10:55,M,509,11:00,coho,Small,1.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
6975,8/20/2020,34,2,21,6,N,11:10,M,502,11:15,coho,,1.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
6995,8/20/2020,34,2,21,7,N,11:32,M,529,11:36,coho,,2.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
7015,8/20/2020,34,2,21,8,S,11:59,M,554,12:05,coho,,2.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
7035,8/20/2020,34,2,21,9,S,12:23,M,525,12:26,coho,,3,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
7055,8/20/2020,34,2,21,10,S,12:36,M,569,12:39,coho,Missing 1 scale,1.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
7075,8/20/2020,34,2,22,1,N,12:46,F,573,12:49,coho,,3,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
7095,8/20/2020,34,2,22,2,S,12:58,M,529,13:02,sockeye,GASH,7,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
7115,8/20/2020,34,2,22,3,N,13:08,M,542,13:12,coho,,1.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
7135,8/20/2020,34,2,22,4,N,13:09,M,534,13:15,coho,,1.1,64.31762,-161.13248,8-Jul,0.4,0.2,56,59,5,W,100
7155,8/20/2020,34,2,22,5,N,14:34,M,520,14:37,coho,,2.1,64.28782,-161.07748,8-Jul,0.5,0.3,56,60,1,,100
7175,8/20/2020,34,2,22,6,S,14:39,M,524,14:50,coho,,3.1,64.28782,-161.07748,8-Jul,0.5,0.3,56,60,1,,100
7195,8/20/2020,34,2,22,7,S,14:46,F,558,14:50,coho,Missing 1 scale,3,64.28782,-161.07748,8-Jul,0.5,0.3,56,60,1,,100
2835,8/18/2020,34,1,21,1,N,11:07,M,573,11:15,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
2855,8/18/2020,34,1,21,2,N,11:10,F,468,11:15,coho,,1.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
2875,8/18/2020,34,1,21,3,N,11:17,F,478,11:25,coho,,3.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
2895,8/18/2020,34,1,21,4,N,11:18,M,529,11:25,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
2915,8/18/2020,34,1,21,5,N,11:18,M,561,11:25,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
2935,8/18/2020,34,1,21,6,N,11:20,M,554,11:27,coho,,3.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
2955,8/18/2020,34,1,21,7,N,11:29,F,503,11:35,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
2975,8/18/2020,34,1,21,8,N,11:29,M,553,11:35,coho,,3,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
2995,8/18/2020,34,1,21,9,S,11:30,F,547,11:35,coho,,3,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3015,8/18/2020,34,1,21,10,N,11:39,F,571,11:45,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3035,8/18/2020,34,1,22,1,N,11:39,F,543,11:46,coho,,1.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3055,8/18/2020,34,1,22,2,N,11:50,M,531,12:01,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3075,8/18/2020,34,1,22,3,N,11:51,F,566,12:01,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3095,8/18/2020,34,1,22,4,S,11:53,M,557,12:01,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3115,8/18/2020,34,1,22,5,S,11:56,M,544,12:02,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3135,8/18/2020,34,1,22,6,N,12:06,M,551,12:16,coho,,1.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3155,8/18/2020,34,1,22,7,N,12:10,M,525,12:16,coho,,3,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3175,8/18/2020,34,1,22,8,S,12:12,M,526,12:16,coho,,1.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
3195,8/18/2020,34,1,22,9,N,12:20,F,569,12:28,coho,,2.1,63.95477,-160.85222,8-May,1.9,1.6,62,58,2,SE,0
6755,8/18/2020,34,2,20,1,N,13:37,F,489,13:41,coho,,1.1,64.27301,-161.04781,8-May,2.5,2,64,60,,,
6775,8/18/2020,34,2,20,2,N,13:37,M,584,13:43,coho,Bite mark.,2.1,64.27301,-161.04781,8-May,2.5,2,64,60,,,
6795,8/18/2020,34,2,20,3,N,13:38,M,565,13:45,chinook,,7,64.27301,-161.04781,8-May,1,1,64,60,,,
6815,8/18/2020,34,2,20,4,N,14:59,M,552,15:03,coho,,2.1,64.27301,-161.04781,8-May,2.5,2,64,60,,,
6835,8/18/2020,34,2,20,5,N,14:59,F,573,15:05,coho,,1.1,64.27301,-161.04781,8-May,2.5,2,64,60,,,
6855,8/18/2020,34,2,20,6,N,15:14,F,574,15:20,coho,,3.1,64.27301,-161.04781,8-Jul,2.5,2,64,60,,,
2415,8/17/2020,34,1,18,1,S,13:37,M,510,13:43,coho,,1.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2435,8/17/2020,34,1,18,2,N,13:48,M,565,13:53,coho,,4,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2455,8/17/2020,34,1,18,3,N,13:57,M,567,14:06,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2475,8/17/2020,34,1,18,4,N,13:59,M,564,14:06,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2495,8/17/2020,34,1,18,5,N,13:59,F,528,14:09,coho,,3,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2515,8/17/2020,34,1,18,6,S,14:02,F,527,14:11,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2535,8/17/2020,34,1,18,7,N,14:02,M,594,14:13,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2555,8/17/2020,34,1,18,8,N,14:03,F,530,14:15,coho,,1.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2575,8/17/2020,34,1,18,9,N,14:18,F,548,14:25,coho,,3.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2595,8/17/2020,34,1,18,10,N,14:18,M,553,14:25,coho,,3.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2615,8/17/2020,34,1,19,1,N,14:20,F,563,14:28,coho,,3.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2635,8/17/2020,34,1,19,2,N,14:21,F,539,14:31,coho,,1.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2655,8/17/2020,34,1,19,3,N,14:21,F,561,14:33,coho,,1.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2675,8/17/2020,34,1,19,4,S,14:47,F,559,14:54,coho,,1.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2695,8/17/2020,34,1,19,5,S,14:52,M,491,14:54,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2715,8/17/2020,34,1,19,6,S,14:57,M,528,15:03,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2735,8/17/2020,34,1,19,7,N,14:58,M,539,15:04,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2755,8/17/2020,34,1,19,8,N,14:58,F,578,15:05,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2775,8/17/2020,34,1,19,9,S,15:15,M,549,15:19,coho,,1.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2795,8/17/2020,34,1,19,10,S,15:28,F,548,15:32,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
2815,8/17/2020,34,1,20,1,N,15:29,F,539,15:34,coho,,2.1,63.95427,-160.8533,SN,1.3,1,72,58,15,SE,0
6415,8/17/2020,34,2,18,1,S,11:34,M,509,11:37,coho,,1.1,64.30146,-161.10429,8-May,1.25,1,69,58,12,S,0
6435,8/17/2020,34,2,18,2,N,11:39,M,571,11:45,coho,,2.1,64.30146,-161.10429,8-May,1.25,1,69,58,12,S,0
6455,8/17/2020,34,2,18,3,N,11:58,F,577,12:02,coho,,1.1,64.30146,-161.10429,8-May,1.25,1,69,58,12,S,0
6475,8/17/2020,34,2,18,4,N,12:13,F,587,12:16,coho,,3.1,64.30146,-161.10429,8-May,1.25,1,69,58,12,S,0
6495,8/17/2020,34,2,18,5,N,12:13,F,533,12:18,coho,,3,64.30146,-161.10429,8-May,1.25,1,69,58,12,S,0
6515,8/17/2020,34,2,18,6,S,13:06,M,545,13:09,coho,,2.1,64.30146,-161.10429,8-May,1.25,1,69,58,12,S,0
6535,8/17/2020,34,2,18,7,S,13:37,M,551,13:42,coho,Reset net,1.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6555,8/17/2020,34,2,18,8,N,13:45,M,554,13:49,coho,,2.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6575,8/17/2020,34,2,18,9,N,14:16,F,484,14:23,coho,,1.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6595,8/17/2020,34,2,18,10,S,14:41,F,585,14:48,coho,,2.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6615,8/17/2020,34,2,19,1,N,15:00,M,512,15:08,coho,,1.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6635,8/17/2020,34,2,19,2,N,15:00,M,532,15:08,coho,,1.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6655,8/17/2020,34,2,19,3,N,15:15,M,503,15:20,coho,,3,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6675,8/17/2020,34,2,19,4,N,15:29,F,510,15:33,coho,,3,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6695,8/17/2020,34,2,19,5,S,15:49,F,561,15:53,coho,,2.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6715,8/17/2020,34,2,19,6,S,16:10,F,537,16:15,coho,,2.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6735,8/17/2020,34,2,19,7,S,16:12,M,598,16:16,coho,Large.,1.1,64.30146,-161.10429,8-Jul,1.25,1,69,58,1,,0
6195,8/13/2020,33,2,16,1,N,9:11,M,520,9:15,coho,,4,64.29974,-161.10029,8-Jul,1,0.75,56,57,2,W,100
6215,8/13/2020,33,2,16,2,N,9:23,F,510,9:32,coho,,2.1,64.29974,-161.10029,8-May,1,0.75,56,57,2,W,100
6235,8/13/2020,33,2,16,3,N,9:23,F,560,9:32,coho,,1.1,64.29974,-161.10029,8-May,1,0.75,56,57,2,W,100
6255,8/13/2020,33,2,16,4,S,9:40,M,553,9:45,coho,Recapture going North.,3,64.29974,-161.10029,8-May,1,0.75,56,57,2,W,100
6275,8/13/2020,33,2,16,5,S,9:41,M,556,9:46,coho,,2.1,64.29974,-161.10029,8-May,1,0.75,56,57,2,W,100
6295,8/13/2020,33,2,16,6,N,9:54,F,535,10:00,coho,,2.1,64.29974,-161.10029,8-May,1,0.75,56,57,2,W,100
6315,8/13/2020,33,2,16,7,S,9:56,F,568,10:01,coho,,3,64.29974,-161.10029,8-Jul,1,0.75,56,57,2,W,100
6335,8/13/2020,33,2,16,8,S,10:39,M,581,10:43,coho,,2.1,64.29974,-161.10029,8-May,1,0.75,56,57,2,W,100
6355,8/13/2020,33,2,16,9,N,10:49,F,556,10:53,coho,,2.1,64.29974,-161.10029,8-Jul,1,0.75,56,57,2,W,100
6375,8/13/2020,33,2,16,10,S,10:57,F,557,10:59,coho,,2.1,64.29974,-161.10029,8-May,1,0.75,56,57,2,W,100
6395,8/13/2020,33,2,17,1,S,10:57,F,506,11:03,coho,,1.1,64.29974,-161.10029,8-May,1,0.75,56,57,2,W,100
1715,8/12/2020,33,1,14,1,N,10:20,F,499,10:32,coho,,3,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1735,8/12/2020,33,1,14,2,N,10:26,F,555,10:32,coho,,1.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1755,8/12/2020,33,1,14,3,S,10:40,F,485,10:53,coho,,3.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1775,8/12/2020,33,1,14,4,N,10:43,M,508,10:53,coho,,1.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1795,8/12/2020,33,1,14,5,N,10:45,M,486,10:53,coho,,2.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1815,8/12/2020,33,1,14,6,S,10:48,F,554,10:54,coho,,3.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1835,8/12/2020,33,1,14,7,N,10:50,M,478,10:57,coho,,3,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1855,8/12/2020,33,1,14,8,N,10:51,M,536,10:59,coho,,2.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1875,8/12/2020,33,1,14,9,N,11:02,M,530,11:13,coho,,2.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1895,8/12/2020,33,1,14,10,N,11:05,F,516,11:13,coho,,2.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1915,8/12/2020,33,1,15,1,N,11:07,M,524,11:13,coho,,4,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1935,8/12/2020,33,1,15,2,N,11:17,M,518,11:30,coho,,2.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1955,8/12/2020,33,1,15,3,S,11:17,F,526,11:30,coho,,1.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1975,8/12/2020,33,1,15,4,S,11:23,M,518,11:30,coho,,2.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
1995,8/12/2020,33,1,15,5,N,11:25,M,553,11:33,coho,,4,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
2015,8/12/2020,33,1,15,6,S,11:27,M,519,11:36,coho,,1.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
2035,8/12/2020,33,1,15,7,S,11:29,M,578,11:38,sockeye,,7,64.02222,-160.88222,SN,0.6,0.5,,57,3,SW,20
2055,8/12/2020,33,1,15,8,S,11:45,M,543,11:52,coho,,2.1,63.95433,-160.85193,SN,0.6,0.5,,57,3,SW,20
