Date,Time,Wind Spd (mph),Wind Direction (deg),Sea Lev Press (hPa),Precip (in)
7/16/2020,20:56,7,310,1007.2,m
7/16/2020,21:56,7,310,1007.1,m
7/16/2020,22:56,5,330,1007.1,m
7/16/2020,23:56,3,330,1007.3,m
7/17/2020,0:56,0,0,1007.5,m
7/17/2020,1:56,3,90,1007.5,m
7/17/2020,2:56,0,0,1007.3,m
7/17/2020,3:56,5,110,1007.3,m
7/17/2020,4:56,3,90,1007.3,m
7/17/2020,5:56,3,80,1007.1,m
7/17/2020,6:56,3,90,1006.9,m
7/17/2020,7:56,5,100,1007,m
7/17/2020,8:56,3,130,1007,m
7/17/2020,9:56,6,210,1007.1,m
7/17/2020,10:56,8,220,1007.3,m
7/17/2020,11:56,7,280,1007.4,m
7/17/2020,12:56,7,270,1007.4,m
7/17/2020,13:56,9,290,1007.5,m
7/17/2020,14:56,10,300,1007.4,m
7/17/2020,15:56,9,290,1007.4,m
7/17/2020,16:56,9,300,1007.4,m
7/17/2020,17:56,9,310,1007.4,m
7/17/2020,18:56,9,300,1007.3,m
7/17/2020,19:56,13,310,1007.5,m
7/17/2020,20:56,10,310,1007.6,m
7/17/2020,21:56,8,330,1007.8,m
7/17/2020,22:56,6,290,1008.1,m
7/17/2020,23:56,5,230,1008.5,m
7/18/2020,0:56,3,110,1008.8,m
7/18/2020,1:56,5,90,1009,m
7/18/2020,2:56,0,0,1009.1,m
7/18/2020,3:56,9,190,1009.3,m
7/18/2020,4:56,0,0,1009.5,m
7/18/2020,5:56,5,110,1009.7,m
7/18/2020,6:56,7,120,1009.8,m
7/18/2020,7:56,5,110,1009.8,m
7/18/2020,8:56,7,220,1010.1,m
7/18/2020,9:56,8,230,1010.4,m
7/18/2020,10:56,10,240,1010.6,m
7/18/2020,11:56,10,250,1011.1,m
7/18/2020,12:56,9,250,1011.2,m
7/18/2020,13:56,8,250,1011.1,m
7/18/2020,14:56,9,260,1011.1,m
7/18/2020,15:56,9,280,1011.1,m
7/18/2020,16:56,9,270,1011.1,m
7/18/2020,17:56,9,260,1011.1,m
7/18/2020,18:56,9,270,1011.2,m
7/18/2020,19:56,8,260,1011.3,m
7/18/2020,20:56,8,250,1011.4,m
7/18/2020,21:56,9,230,1011.5,m
7/18/2020,22:56,7,250,1011.6,m
7/18/2020,23:56,9,240,1011.7,m
7/19/2020,0:56,8,220,1011.8,m
7/19/2020,1:56,6,240,1011.8,m
7/19/2020,2:56,6,250,1011.8,m
7/19/2020,3:56,6,80,1011.8,m
7/19/2020,4:56,5,70,1011.8,m
7/19/2020,5:56,6,70,1011.8,m
7/19/2020,6:56,5,70,1011.6,m
7/19/2020,7:56,3,40,1011.8,m
7/19/2020,8:56,3,80,1012,m
7/19/2020,9:56,7,270,1012.1,m
7/19/2020,10:56,7,240,1012.3,m
7/19/2020,11:56,7,240,1012.4,m
7/19/2020,12:56,10,270,1012.6,m
7/19/2020,13:56,9,280,1012.6,m
7/19/2020,14:56,10,300,1012.7,m
7/19/2020,15:56,9,300,1012.4,m
7/19/2020,16:56,10,280,1012.4,m
7/19/2020,17:56,8,290,1012.4,m
7/19/2020,18:56,7,290,1012.3,m
7/19/2020,19:56,6,270,1012.3,m
7/19/2020,20:56,10,290,1012.4,m
7/19/2020,21:56,7,280,1012.8,m
7/19/2020,22:56,6,290,1012.8,m
7/19/2020,23:56,8,280,1013,m
7/20/2020,0:56,8,280,1013.3,m
7/20/2020,1:56,9,280,1013.5,m
7/20/2020,2:56,7,280,1013.7,m
7/20/2020,3:56,10,270,1013.7,m
7/20/2020,4:56,13,270,1013.9,m
7/20/2020,5:56,11,270,1014.2,m
7/20/2020,6:56,10,280,1014.3,m
7/20/2020,7:56,13,250,1014.5,m
7/20/2020,8:56,13,260,1014.7,m
7/20/2020,9:56,14,250,1015.1,m
7/20/2020,10:56,14,250,1015.4,m
7/20/2020,11:56,16,250,1015.7,m
7/20/2020,12:56,16,230,1016.1,m
7/20/2020,13:56,17,250,1016.2,m
7/20/2020,14:56,14,250,1016.5,m
7/20/2020,15:56,14,240,1016.6,m
7/20/2020,16:56,14,250,1016.7,m
7/20/2020,17:56,14,250,1016.7,m
7/20/2020,18:56,16,260,1016.5,m
7/20/2020,19:56,18,260,1016.8,m
7/20/2020,20:56,16,270,1016.9,m
7/20/2020,21:56,20,260,1017.1,m
7/20/2020,22:56,17,260,1017.3,m
7/20/2020,23:56,21,260,1017.4,m
7/21/2020,0:56,16,260,1017.6,m
7/21/2020,1:56,17,260,1017.7,m
7/21/2020,2:56,17,250,1017.7,m
7/21/2020,3:56,16,260,1017.7,m
7/21/2020,4:56,16,250,1017.6,m
7/21/2020,5:56,17,260,1017.4,m
7/21/2020,6:56,17,250,1017.3,m
7/21/2020,7:56,14,240,1017.5,m
7/21/2020,8:56,16,240,1017.7,m
7/21/2020,9:56,16,240,1017.7,m
7/21/2020,10:56,16,250,1017.8,m
7/21/2020,11:56,14,240,1017.8,m
7/21/2020,12:56,13,240,1017.9,m
7/21/2020,13:56,14,260,1017.9,m
7/21/2020,14:56,13,230,1017.8,m
7/21/2020,15:56,14,250,1017.8,m
7/21/2020,16:56,13,240,1017.7,m
7/21/2020,17:56,13,230,1017.6,m
7/21/2020,18:56,11,210,1017.3,m
7/21/2020,19:56,9,230,1017.2,m
7/21/2020,20:56,9,250,1017.1,m
7/21/2020,21:56,11,260,1017.1,m
7/21/2020,22:56,11,260,1017.3,m
7/21/2020,23:56,14,240,1017.4,m
7/22/2020,0:56,11,240,1017.5,m
7/22/2020,1:56,11,260,1017.4,m
7/22/2020,2:56,13,280,1017.4,m
7/22/2020,3:56,13,260,1017.5,m
7/22/2020,4:56,13,260,1017.6,m
7/22/2020,5:56,11,250,1017.5,m
7/22/2020,6:56,10,240,1017.4,m
7/22/2020,7:56,10,240,1017.6,m
7/22/2020,8:56,11,250,1017.8,m
7/22/2020,9:56,13,240,1018,m
7/22/2020,10:56,13,240,1018.1,m
7/22/2020,11:56,13,230,1018.5,m
7/22/2020,12:56,13,240,1018.8,m
7/22/2020,13:56,13,240,1018.8,m
7/22/2020,14:56,10,240,1018.8,m
7/22/2020,15:56,8,240,1018.9,m
7/22/2020,16:56,9,250,1018.7,m
7/22/2020,17:56,7,240,1018.1,m
7/22/2020,18:56,7,250,1017.9,m
7/22/2020,19:56,6,240,1017.7,m
7/22/2020,20:56,7,M,1017.4,m
7/22/2020,21:56,8,240,1017,m
7/22/2020,22:56,10,230,1017.1,m
7/22/2020,23:56,10,230,1017.1,m
7/23/2020,0:56,13,250,1016.8,m
7/23/2020,1:56,11,250,1016.5,m
7/23/2020,2:56,9,250,1016.2,m
7/23/2020,3:56,15,220,1015.4,m
7/23/2020,4:56,15,230,1015,m
7/23/2020,5:56,10,230,1014.5,m
7/23/2020,6:56,10,210,1013.9,m
7/23/2020,7:56,14,250,1013.6,m
7/23/2020,8:56,9,210,1013.1,m
7/23/2020,9:56,9,190,1012.7,m
7/23/2020,10:56,9,220,1012.4,m
7/23/2020,11:56,11,230,1012.2,m
7/23/2020,12:56,9,260,1011.7,m
7/23/2020,13:56,8,240,1011,m
7/23/2020,14:56,7,260,1010.3,m
7/23/2020,15:56,7,240,1009.5,m
7/23/2020,16:56,6,290,1009.1,m
7/23/2020,17:56,5,280,1008.5,m
7/23/2020,18:56,6,260,1008,m
7/23/2020,19:56,7,250,1007.4,m
7/23/2020,20:56,7,240,1007.1,m
7/23/2020,21:56,7,230,1006.7,m
7/23/2020,22:56,5,250,1006.3,m
7/23/2020,23:56,8,240,1005.9,m
7/24/2020,0:56,8,230,1005.6,m
7/24/2020,1:56,8,240,1005.3,m
7/24/2020,2:56,7,250,1004.9,m
7/24/2020,3:56,7,240,1004.6,m
7/24/2020,4:56,8,230,1004.1,m
7/24/2020,5:56,10,250,1003.8,m
7/24/2020,6:56,13,240,1003.6,m
7/24/2020,7:56,11,250,1003.5,m
7/24/2020,8:56,14,240,1003.2,m
7/24/2020,9:56,13,240,1003.2,m
7/24/2020,10:56,14,240,1003.2,m
7/24/2020,11:56,14,240,1003,m
7/24/2020,12:56,14,250,1003.1,m
7/24/2020,13:56,14,260,1003.3,m
7/24/2020,14:56,13,240,1003,m
7/24/2020,15:56,9,260,1002.8,m
7/24/2020,16:56,9,280,1002.9,m
7/24/2020,17:56,5,260,1002.6,m
7/24/2020,18:56,6,360,1002.6,m
7/24/2020,19:56,0,0,1002.7,m
7/24/2020,20:56,5,330,1002.8,m
7/24/2020,21:56,8,330,1003,m
7/24/2020,22:56,3,20,1003.3,m
7/24/2020,23:56,0,0,1003.5,m
7/25/2020,0:56,0,0,1003.6,m
7/25/2020,1:56,0,0,1003.6,m
7/25/2020,2:56,0,0,1003.7,m
7/25/2020,3:56,0,0,1003.8,m
7/25/2020,4:56,3,90,1003.7,m
7/25/2020,5:56,5,90,1004.1,m
7/25/2020,6:56,5,100,1004.3,m
7/25/2020,7:56,5,90,1004.3,m
7/25/2020,8:56,5,100,1004.5,m
7/25/2020,9:56,0,0,1004.6,m
7/25/2020,10:56,7,290,1004.6,m
7/25/2020,11:56,9,300,1004.8,m
7/25/2020,12:56,13,310,1004.8,m
7/25/2020,13:56,14,320,1004.8,m
7/25/2020,14:56,13,320,1004.7,m
7/25/2020,15:56,14,320,1004.7,m
7/25/2020,16:56,10,310,1004.9,m
7/25/2020,17:56,14,310,1005,m
7/25/2020,18:56,14,320,1005.2,m
7/25/2020,19:56,14,310,1005.2,m
7/25/2020,20:56,13,310,1005.5,m
7/25/2020,21:56,10,320,1005.7,m
7/25/2020,22:56,11,300,1006,m
7/25/2020,23:56,11,300,1006.3,m
7/26/2020,0:56,10,310,1006.4,m
7/26/2020,1:56,5,330,1006.6,m
7/26/2020,2:56,6,310,1006.6,m
7/26/2020,3:56,9,290,1006.5,m
7/26/2020,4:56,8,290,1006.3,m
7/26/2020,5:56,8,280,1006.8,m
7/26/2020,6:56,10,260,1007.2,m
7/26/2020,7:56,13,250,1007.7,m
7/26/2020,8:56,10,240,1008.1,m
7/26/2020,9:56,9,230,1008.4,m
7/26/2020,10:56,9,240,1008.8,m
7/26/2020,11:56,9,270,1009,m
7/26/2020,12:56,9,250,1009.2,m
7/26/2020,13:56,9,260,1009.3,m
7/26/2020,14:56,8,260,1009.4,m
7/26/2020,15:56,6,280,1009.4,m
7/26/2020,16:56,6,250,1009.3,m
7/26/2020,17:56,7,250,1009.4,m
7/26/2020,18:56,7,250,1009.5,m
7/26/2020,19:56,6,240,1009.7,m
7/26/2020,20:56,8,230,1010,m
7/26/2020,21:56,8,230,1010.1,m
7/26/2020,22:56,9,220,1010.3,m
7/26/2020,23:56,9,210,1010.6,m
7/27/2020,0:56,10,230,1010.9,m
7/27/2020,1:56,10,240,1011.1,m
7/27/2020,2:56,10,220,1011.1,m
7/27/2020,3:56,15,220,1011.2,m
7/27/2020,4:56,18,230,1011.5,m
7/27/2020,5:56,14,210,1011.7,m
7/27/2020,6:56,15,220,1011.8,m
7/27/2020,7:56,17,210,1012,m
7/27/2020,8:56,16,200,1012.2,m
7/27/2020,9:56,18,210,1012.5,m
7/27/2020,10:56,20,210,1012.8,m
7/27/2020,11:56,17,230,1013.4,m
7/27/2020,12:56,15,250,1013.5,m
7/27/2020,13:56,13,250,1013.5,m
7/27/2020,14:56,13,270,1013.8,m
7/27/2020,15:56,14,260,1014.2,m
7/27/2020,16:56,13,250,1014,m
7/27/2020,17:56,13,250,1013.7,m
7/27/2020,18:56,18,260,1013.5,m
7/27/2020,19:56,16,260,1013.8,m
7/27/2020,20:56,23,250,1013.3,m
7/27/2020,21:56,17,240,1013.5,m
7/27/2020,22:56,17,250,1014.1,m
7/27/2020,23:56,15,230,1014.4,m
7/28/2020,0:56,14,230,1014.5,m
7/28/2020,1:56,15,230,1014.4,m
7/28/2020,2:56,18,240,1014.5,m
7/28/2020,3:56,17,230,1014.8,m
7/28/2020,4:56,16,230,1014.8,m
7/28/2020,5:56,16,230,1015.2,m
7/28/2020,6:56,23,230,1015.5,m
7/28/2020,7:56,23,230,1015.6,m
7/28/2020,8:56,18,240,1015.8,m
7/28/2020,9:56,18,250,1016.4,m
7/28/2020,10:56,21,250,1016.7,m
7/28/2020,11:56,21,250,1016.8,m
7/28/2020,12:56,21,250,1017.1,m
7/28/2020,13:56,20,250,1017.2,m
7/28/2020,14:56,18,250,1017.2,m
7/28/2020,15:56,14,260,1017.3,m
7/28/2020,16:56,17,260,1017.5,m
7/28/2020,17:56,18,260,1017.7,m
7/28/2020,18:56,17,260,1017.6,m
7/28/2020,19:56,18,260,1017.6,m
7/28/2020,20:56,17,260,1017.8,m
7/28/2020,21:56,21,240,1017.9,m
7/28/2020,22:56,22,240,1018.2,m
7/28/2020,23:56,21,240,1018.4,m
7/29/2020,0:56,20,240,1018.7,m
7/29/2020,1:56,18,240,1018.8,m
7/29/2020,2:56,17,230,1018.6,m
7/29/2020,3:56,17,240,1018.5,m
7/29/2020,4:56,17,250,1018.5,m
7/29/2020,5:56,18,230,1018.3,m
7/29/2020,6:56,16,230,1017.9,m
7/29/2020,7:56,10,230,1017.5,m
7/29/2020,8:56,11,200,1017,m
7/29/2020,9:56,8,160,1016.8,m
7/29/2020,10:56,7,210,1016.5,m
7/29/2020,11:56,7,180,1016,m
7/29/2020,12:56,3,160,1015.4,m
7/29/2020,13:56,5,290,1014.9,m
7/29/2020,14:56,6,290,1014.5,m
7/29/2020,15:56,6,310,1013.6,m
7/29/2020,16:56,3,M,1012.5,m
7/29/2020,17:56,7,320,1011.7,m
7/29/2020,18:56,6,320,1010.9,m
7/29/2020,19:56,8,330,1009.9,m
7/29/2020,20:56,3,350,1009.2,m
7/29/2020,21:56,0,0,1008.7,m
7/29/2020,22:56,3,100,1008.1,m
7/29/2020,23:56,6,70,1007.5,m
7/30/2020,0:56,7,90,1006.8,m
7/30/2020,1:56,7,60,1006.4,m
7/30/2020,2:56,7,80,1005.9,m
7/30/2020,3:56,7,70,1005.2,m
7/30/2020,4:56,3,M,1004.7,m
7/30/2020,5:56,7,50,1004.7,m
7/30/2020,6:56,3,M,1004.2,m
7/30/2020,7:56,7,90,1004.1,m
7/30/2020,8:56,9,100,1004,m
7/30/2020,9:56,10,150,1004.3,m
7/30/2020,10:56,10,150,1004.7,m
7/30/2020,11:56,11,150,1005.1,m
7/30/2020,12:56,10,170,1005.3,m
7/30/2020,13:56,6,200,1005.4,m
7/30/2020,14:56,11,130,1005.9,m
7/30/2020,15:56,7,140,1005.9,m
7/30/2020,16:56,11,120,1006.1,m
7/30/2020,17:56,6,90,1006.3,m
7/30/2020,18:56,6,90,1006.5,m
7/30/2020,19:56,5,90,1006.5,m
7/30/2020,20:56,6,110,1007,m
7/30/2020,21:56,3,80,1007.4,m
7/30/2020,22:56,6,120,1007.7,m
7/30/2020,23:56,6,90,1008.1,m
7/31/2020,0:56,7,90,1008.4,m
7/31/2020,1:56,10,90,1008.8,m
7/31/2020,2:56,8,90,1009,m
7/31/2020,3:56,7,80,1009.2,m
7/31/2020,4:56,8,80,1009.4,m
7/31/2020,5:56,9,80,1009.8,m
7/31/2020,6:56,6,80,1009.9,m
7/31/2020,7:56,9,90,1010.2,m
7/31/2020,8:56,10,100,1010.5,m
7/31/2020,9:56,6,120,1010.6,m
7/31/2020,10:56,10,100,1010.9,m
7/31/2020,11:56,14,90,1011,m
7/31/2020,12:56,14,80,1011,m
7/31/2020,13:56,10,80,1011,m
7/31/2020,14:56,14,80,1010.7,m
7/31/2020,15:56,11,90,1010.8,m
7/31/2020,16:56,9,90,1010.6,m
7/31/2020,17:56,9,80,1010.3,m
7/31/2020,18:56,11,90,1010.3,m
7/31/2020,19:56,8,80,1010.2,m
7/31/2020,20:56,8,70,1010.2,m
7/31/2020,21:56,7,70,1010.3,m
7/31/2020,22:56,7,60,1010.2,m
7/31/2020,23:56,7,70,1010.1,m
8/1/2020,0:56,7,70,1009.8,m
8/1/2020,1:56,5,80,1009.8,m
8/1/2020,2:56,8,90,1009.7,m
8/1/2020,3:56,6,70,1009.4,m
8/1/2020,4:56,7,80,1009.3,m
8/1/2020,5:56,5,70,1009.1,m
8/1/2020,6:56,3,120,1009.1,m
8/1/2020,7:56,8,90,1008.7,m
8/1/2020,8:56,3,80,1008.4,m
8/1/2020,9:56,3,280,1008.1,m
8/1/2020,10:56,7,300,1007.8,m
8/1/2020,11:56,6,300,1007.4,m
8/1/2020,12:56,8,300,1006.8,m
8/1/2020,13:56,11,310,1006.5,m
8/1/2020,14:56,8,310,1006.2,m
8/1/2020,15:56,5,280,1005.8,m
8/1/2020,16:56,10,330,1005.7,m
8/1/2020,17:56,8,330,1005.5,m
8/1/2020,18:56,10,50,1005.5,m
8/1/2020,19:56,6,60,1005.4,m
8/1/2020,20:56,8,50,1005.3,m
8/1/2020,21:56,6,30,1005,m
8/1/2020,22:56,5,330,1004.8,m
8/1/2020,23:56,0,0,1004.6,m
8/2/2020,0:56,3,330,1004.5,m
8/2/2020,1:56,6,320,1004.5,m
8/2/2020,2:56,6,330,1004.2,m
8/2/2020,3:56,7,320,1003.9,m
8/2/2020,4:56,5,350,1003.6,m
8/2/2020,5:56,0,0,1003.4,m
8/2/2020,6:56,0,0,1003.1,m
8/2/2020,7:56,6,310,1002.8,m
8/2/2020,8:56,5,M,1002.8,m
8/2/2020,9:56,8,310,1002.8,m
8/2/2020,10:56,9,330,1002.8,m
8/2/2020,11:56,10,310,1002.7,m
8/2/2020,12:56,10,320,1002.6,m
8/2/2020,13:56,8,310,1002.4,m
8/2/2020,14:56,8,320,1002.2,m
8/2/2020,15:56,10,300,1002.1,m
8/2/2020,16:56,10,320,1002.3,m
8/2/2020,17:56,7,300,1002.3,m
8/2/2020,18:56,8,270,1002.3,m
8/2/2020,19:56,6,250,1002.5,m
8/2/2020,20:56,7,280,1002.4,m
8/2/2020,21:56,5,230,1002.5,m
8/2/2020,22:56,7,210,1002.7,m
8/2/2020,23:56,5,210,1002.9,m
8/3/2020,0:56,8,180,1003.1,m
8/3/2020,1:56,3,M,1003.4,m
8/3/2020,2:56,3,90,1003.6,m
8/3/2020,3:56,3,80,1003.7,m
8/3/2020,4:56,3,60,1003.9,m
8/3/2020,5:56,3,70,1004.2,m
8/3/2020,6:56,6,100,1004.3,m
8/3/2020,7:56,6,70,1004.5,m
8/3/2020,8:56,5,70,1004.7,m
8/3/2020,9:56,3,80,1004.9,m
8/3/2020,10:56,7,300,1005.1,m
8/3/2020,11:56,9,310,1005,m
8/3/2020,12:56,14,320,1005,m
8/3/2020,13:56,14,320,1005.1,m
8/3/2020,14:56,16,320,1005.2,m
8/3/2020,15:56,16,320,1005.3,m
8/3/2020,16:56,16,320,1005.3,m
8/3/2020,17:56,13,320,1005.6,m
8/3/2020,18:56,8,300,1005.8,m
8/3/2020,19:56,11,300,1006,m
8/3/2020,20:56,8,270,1006.1,m
8/3/2020,21:56,9,240,1006.6,m
8/3/2020,22:56,7,260,1006.9,m
8/3/2020,23:56,7,250,1007.1,m
8/4/2020,0:56,7,240,1007.2,m
8/4/2020,1:56,5,230,1007.4,m
8/4/2020,2:56,0,0,1007.5,m
8/4/2020,3:56,3,230,1007.6,m
8/4/2020,4:56,5,200,1007.6,m
8/4/2020,5:56,6,200,1008,m
8/4/2020,6:56,7,210,1008.1,m
8/4/2020,7:56,11,190,1008.2,m
8/4/2020,8:56,3,240,1008.7,m
8/4/2020,9:56,6,240,1008.9,m
8/4/2020,10:56,7,280,1009,m
8/4/2020,11:56,3,260,1009.2,m
8/4/2020,12:56,5,270,1009.4,m
8/4/2020,13:56,7,270,1009.3,m
8/4/2020,14:56,6,260,1009.2,m
8/4/2020,15:56,6,260,1009.2,m
8/4/2020,16:56,3,220,1008.9,m
8/4/2020,17:56,5,240,1008.6,m
8/4/2020,18:56,0,0,1008.3,m
8/4/2020,19:56,3,270,1008.1,m
8/4/2020,20:56,6,180,1008,m
8/4/2020,21:56,5,190,1007.9,m
8/4/2020,22:56,8,200,1007.7,m
8/4/2020,23:56,7,200,1007.5,m
8/5/2020,0:56,7,190,1007.5,m
8/5/2020,1:56,6,90,1007.2,m
8/5/2020,2:56,7,90,1006.7,m
8/5/2020,3:56,6,80,1006.4,m
8/5/2020,4:56,5,120,1006.2,m
8/5/2020,5:56,6,90,1005.8,m
8/5/2020,6:56,6,90,1005.5,m
8/5/2020,7:56,8,80,1005,m
8/5/2020,8:56,9,80,1004.4,m
8/5/2020,9:56,6,100,1004,m
8/5/2020,10:56,6,120,1003.5,m
8/5/2020,11:56,5,M,1002.9,m
8/5/2020,12:56,7,260,1002.3,m
8/5/2020,13:56,9,320,1001.4,m
8/5/2020,14:56,11,320,1000.7,m
8/5/2020,15:56,10,320,999.7,m
8/5/2020,16:56,3,M,998.8,m
8/5/2020,17:56,3,80,997.8,m
8/5/2020,18:56,5,130,997.3,m
8/5/2020,19:56,5,100,996.5,m
8/5/2020,20:56,13,60,995.9,m
8/5/2020,21:56,14,60,995,m
8/5/2020,22:56,9,80,994.5,m
8/5/2020,23:56,8,60,993.9,m
8/6/2020,0:56,6,100,994.1,m
8/6/2020,1:56,11,70,993.4,m
8/6/2020,2:56,14,60,992.6,m
8/6/2020,3:56,9,90,992.6,m
8/6/2020,4:56,11,70,992.5,m
8/6/2020,5:56,11,80,992.1,m
8/6/2020,6:56,10,90,991.7,m
8/6/2020,7:56,11,80,991.7,m
8/6/2020,8:56,13,80,991.7,m
8/6/2020,9:56,16,80,991.5,m
8/6/2020,10:56,14,80,991.5,m
8/6/2020,11:56,17,80,991.3,m
8/6/2020,12:56,11,100,991.3,m
8/6/2020,13:56,11,100,991.3,m
8/6/2020,14:56,14,80,991.1,m
8/6/2020,15:56,14,70,991,m
8/6/2020,16:56,11,80,991,m
8/6/2020,17:56,13,110,991.3,m
8/6/2020,18:56,3,360,991.1,m
8/6/2020,19:56,0,0,991.3,m
8/6/2020,20:56,7,90,991.7,m
8/6/2020,21:56,6,100,992.2,m
8/6/2020,22:56,5,80,992.9,m
8/6/2020,23:56,5,100,993,m
8/7/2020,0:56,7,80,993.4,m
8/7/2020,1:56,6,100,993.9,m
8/7/2020,2:56,9,60,994.2,m
8/7/2020,3:56,9,70,994.5,m
8/7/2020,4:56,9,80,994.9,m
8/7/2020,5:56,8,70,995.3,m
8/7/2020,6:56,8,50,995.4,m
8/7/2020,7:56,7,80,995.7,m
8/7/2020,8:56,8,100,996.1,m
8/7/2020,9:56,3,M,996.7,m
8/7/2020,10:56,0,0,997,m
8/7/2020,11:56,6,270,997.1,m
8/7/2020,12:56,7,290,997.4,m
8/7/2020,13:56,8,300,997.5,m
8/7/2020,14:56,9,320,997.6,m
8/7/2020,15:56,10,320,997.6,m
8/7/2020,16:56,9,320,997.9,m
8/7/2020,17:56,7,320,998.1,m
8/7/2020,18:56,5,40,998.8,m
8/7/2020,19:56,8,260,999.3,m
8/7/2020,20:56,6,300,999.6,m
8/7/2020,21:56,18,270,1000.2,m
8/7/2020,23:56,21,240,1002.3,m
8/8/2020,0:56,18,230,1003,m
8/8/2020,1:56,20,230,1003.7,m
8/8/2020,2:56,18,220,1004.3,m
8/8/2020,3:56,17,210,1004.9,m
8/8/2020,4:56,17,210,1005.3,m
8/8/2020,5:56,18,210,1005.9,m
8/8/2020,6:56,18,220,1006.4,m
8/8/2020,7:56,17,220,1006.9,m
8/8/2020,8:56,15,220,1007.6,m
8/8/2020,9:56,14,220,1008.1,m
8/8/2020,10:56,15,210,1008.5,m
8/8/2020,11:56,13,230,1009,m
8/8/2020,12:56,10,260,1009.5,m
8/8/2020,13:56,9,270,1009.7,m
8/8/2020,14:56,8,260,1009.8,m
8/8/2020,15:56,8,280,1009.8,m
8/8/2020,16:56,7,280,1009.7,m
8/8/2020,17:56,9,290,1009.8,m
8/8/2020,18:56,7,300,1009.9,m
8/8/2020,19:56,0,0,1009.8,m
8/8/2020,20:56,3,310,1010,m
8/8/2020,21:56,0,0,1010.2,m
8/8/2020,22:56,6,130,1010.6,m
8/8/2020,23:56,6,100,1010.7,m
8/9/2020,0:56,6,90,1010.8,m
8/9/2020,1:56,6,100,1011,m
8/9/2020,2:56,8,120,1011,m
8/9/2020,3:56,6,110,1011,m
8/9/2020,4:56,9,90,1011.2,m
8/9/2020,5:56,8,90,1011.2,m
8/9/2020,6:56,9,100,1011.1,m
8/9/2020,7:56,7,80,1011.2,m
8/9/2020,8:56,9,80,1011.4,m
8/9/2020,9:56,6,90,1011.3,m
8/9/2020,10:56,0,0,1011.3,m
8/9/2020,11:56,5,250,1011.4,m
8/9/2020,12:56,7,300,1011.4,m
8/9/2020,13:56,8,300,1011.6,m
8/9/2020,14:56,8,310,1011.4,m
8/9/2020,15:56,9,300,1011.3,m
8/9/2020,16:56,9,310,1011.4,m
8/9/2020,17:56,9,310,1011.4,m
8/9/2020,18:56,10,310,1011.4,m
8/9/2020,19:56,9,320,1011.5,m
8/9/2020,20:56,7,330,1011.8,m
8/9/2020,21:56,0,0,1012.2,m
8/9/2020,22:56,0,0,1012.5,m
8/9/2020,23:56,5,110,1012.8,m
8/10/2020,0:56,0,0,1013.2,m
8/10/2020,1:56,5,80,1013.4,m
8/10/2020,2:56,7,100,1013.9,m
8/10/2020,3:56,6,70,1014.1,m
8/10/2020,4:56,8,120,1014.3,m
8/10/2020,5:56,6,100,1014.6,m
8/10/2020,6:56,8,120,1014.9,m
8/10/2020,7:56,7,90,1015.2,m
8/10/2020,8:56,10,70,1015.5,m
8/10/2020,9:56,8,70,1015.7,m
8/10/2020,10:56,5,110,1015.8,m
8/10/2020,11:56,3,200,1015.8,m
8/10/2020,12:56,6,240,1015.7,m
8/10/2020,13:56,7,290,1015.7,m
8/10/2020,14:56,8,300,1015.5,m
8/10/2020,15:56,11,300,1015.5,m
